CPE dependency name,CVE ID,Number of CVE ID occurrences,CVE severity,Number of Issues,Issues
imagemagick:imagemagick,"CVE-2017-1000476, CVE-2017-12140, CVE-2017-12429, CVE-2017-12430, CVE-2017-12435, CVE-2017-12563, CVE-2017-12643, CVE-2017-12674, CVE-2017-12691, CVE-2017-12692, CVE-2017-12693, CVE-2017-12875, CVE-2017-13133, CVE-2017-14172, CVE-2017-14174, CVE-2017-14175, CVE-2017-14341, CVE-2017-14528, CVE-2017-14532, CVE-2017-14624, CVE-2017-14625, CVE-2017-14626, CVE-2017-17682, CVE-2017-17914, CVE-2017-18271, CVE-2017-18273, CVE-2018-14551",27,"high, medium, critical",1,https://api.github.com/repos/kubeflow/kubeflow/issues/3531
libpam4j_project:libpam4j,CVE-2017-12197,1,medium,1,https://api.github.com/repos/h2oai/h2o-3/issues/6595
shadow_project:shadow,CVE-2017-12424,1,critical,2,"https://api.github.com/repos/kubeflow/kubeflow/issues/3531, https://api.github.com/repos/kubeflow/pipelines/issues/1545"
gnu:libidn2,CVE-2017-14062,1,critical,2,"https://api.github.com/repos/kubeflow/kubeflow/issues/3531, https://api.github.com/repos/kubeflow/pipelines/issues/1545"
marked_project:marked,CVE-2017-16114,1,high,1,https://api.github.com/repos/doccano/doccano/issues/161
mercurial:mercurial,"CVE-2017-17458, CVE-2018-13347",2,critical,1,https://api.github.com/repos/kubeflow/kubeflow/issues/3531
uclouvain:openjpeg,CVE-2017-17480,1,critical,1,https://api.github.com/repos/kubeflow/kubeflow/issues/3531
cookie_project:cookie,CVE-2017-18589,1,high,1,https://api.github.com/repos/LibrePhotos/librephotos/issues/681
snakeyaml_project:snakeyaml,"CVE-2017-18640, CVE-2022-25857",2,high,3,"https://api.github.com/repos/open-metadata/OpenMetadata/issues/2529, https://api.github.com/repos/ray-project/ray/issues/16638, https://api.github.com/repos/ray-project/ray/issues/35949"
debug_project:debug,CVE-2017-20165,1,high,3,"https://api.github.com/repos/xorbitsai/inference/issues/1651, https://api.github.com/repos/infiniflow/ragflow/issues/1358, https://api.github.com/repos/infiniflow/ragflow/issues/1174"
intel:active_management_technology_firmware,CVE-2017-5689,1,critical,1,https://api.github.com/repos/nmap/nmap/issues/1066
intel:core_i7,CVE-2017-5754,1,medium,1,https://api.github.com/repos/tensorflow/tensorflow/issues/16603
apache:spark,"CVE-2017-7678, CVE-2018-11770, CVE-2018-17190, CVE-2019-10099",4,"high, medium, critical",5,"https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/28, https://api.github.com/repos/apache/spark/issues/19538, https://api.github.com/repos/apache/spark/issues/19528, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/29, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/27"
haxx:libcurl,"CVE-2017-8816, CVE-2017-8817, CVE-2017-8818, CVE-2018-1000005, CVE-2021-22924, CVE-2021-22945",6,"critical, low",7,"https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/72, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/73, https://api.github.com/repos/argoproj/argo-workflows/issues/2363, https://api.github.com/repos/google-research/language/issues/114, https://api.github.com/repos/quic/aimet/issues/831, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/81, https://api.github.com/repos/tensorflow/tensorflow/issues/53015"
apache:struts,CVE-2017-9805,1,high,2,"https://api.github.com/repos/nmap/nmap/issues/1463, https://api.github.com/repos/nmap/nmap/issues/1712"
debian:debian_linux,"CVE-2018-1000120, CVE-2018-1000122, CVE-2018-1000301, CVE-2018-15686, CVE-2023-45133",5,"high, critical",5,"https://api.github.com/repos/kubeflow/kubeflow/issues/3531, https://api.github.com/repos/argoproj/argo-workflows/issues/2363, https://api.github.com/repos/xorbitsai/inference/issues/1651, https://api.github.com/repos/kubeflow/pipelines/issues/4531, https://api.github.com/repos/kubeflow/pipelines/issues/1545"
haxx:curl,"CVE-2018-1000300, CVE-2019-5481, CVE-2019-5482, CVE-2021-22922, CVE-2021-22923, CVE-2021-22925, CVE-2021-22926, CVE-2021-22946, CVE-2021-22947, CVE-2022-22576, CVE-2022-27774, CVE-2022-27775, CVE-2022-27776, CVE-2022-27778, CVE-2022-27779, CVE-2022-27780, CVE-2022-27781, CVE-2022-27782, CVE-2022-30115, CVE-2023-23916, CVE-2023-46218, CVE-2023-46219",22,"high, critical, medium",26,"https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/101, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/72, https://api.github.com/repos/google-research/language/issues/114, https://api.github.com/repos/google-research/language/issues/132, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/17, https://api.github.com/repos/tensorflow/tensorflow/issues/55772, https://api.github.com/repos/tf-encrypted/tf-encrypted/issues/744, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/99, https://api.github.com/repos/quic/aimet/issues/1304, https://api.github.com/repos/triton-inference-server/server/issues/5383, https://api.github.com/repos/quic/aimet/issues/831, https://api.github.com/repos/quic/aimet/issues/1293, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/96, https://api.github.com/repos/google-research/language/issues/131, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/81, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/100, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/7, https://api.github.com/repos/tensorflow/tensorflow/issues/56060, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/8, https://api.github.com/repos/tensorflow/tensorflow/issues/69799, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/6, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/73, https://api.github.com/repos/argoproj/argo-workflows/issues/2363, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/97, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/95, https://api.github.com/repos/tensorflow/tensorflow/issues/53015"
busybox:busybox,"CVE-2018-1000517, CVE-2018-20679, CVE-2019-5747, CVE-2021-42374, CVE-2021-42376, CVE-2021-42378, CVE-2021-42379, CVE-2021-42380, CVE-2021-42381, CVE-2021-42382, CVE-2021-42384, CVE-2021-42385, CVE-2021-42386",13,"high, critical, medium",1,https://api.github.com/repos/kubeflow/pipelines/issues/8943
google:guava,"CVE-2018-10237, CVE-2020-8908",2,"medium, low",3,"https://api.github.com/repos/feast-dev/feast/issues/2896, https://api.github.com/repos/h2oai/h2o-3/issues/6595, https://api.github.com/repos/ray-project/ray/issues/16638"
eclipse:jetty,"CVE-2018-12545, CVE-2022-2048, CVE-2023-26048, CVE-2023-40167, CVE-2023-41900",5,"high, medium",4,"https://api.github.com/repos/h2oai/h2o-3/issues/6595, https://api.github.com/repos/h2oai/h2o-3/issues/16294, https://api.github.com/repos/h2oai/h2o-3/issues/16298, https://api.github.com/repos/h2oai/h2o-3/issues/6420"
gnu:gcc,CVE-2018-12886,1,high,1,https://api.github.com/repos/kubeflow/pipelines/issues/1545
linux:linux_kernel,"CVE-2018-12930, CVE-2018-12931, CVE-2018-20169, CVE-2018-20836, CVE-2019-11487, CVE-2019-11810, CVE-2019-11815, CVE-2019-12456, CVE-2019-3846, CVE-2019-8980, CVE-2020-16119, CVE-2020-26147, CVE-2020-26541, CVE-2021-20320, CVE-2021-20322, CVE-2021-23133, CVE-2021-23134, CVE-2021-31829, CVE-2021-32399, CVE-2021-33034, CVE-2021-34866, CVE-2021-35039, CVE-2021-3506, CVE-2021-3609, CVE-2021-3653, CVE-2021-3656, CVE-2021-3679, CVE-2021-37159, CVE-2021-3732, CVE-2021-3739, CVE-2021-3743, CVE-2021-3753, CVE-2021-37576, CVE-2021-38160, CVE-2021-38166, CVE-2021-38199, CVE-2021-38204, CVE-2021-38205, CVE-2021-38300, CVE-2021-40490, CVE-2021-41073, CVE-2021-42008, CVE-2021-42252, CVE-2022-42703, CVE-2022-43945",45,"high, medium, low",4,"https://api.github.com/repos/kubeflow/kubeflow/issues/3531, https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448, https://api.github.com/repos/RasaHQ/rasa/issues/9004, https://api.github.com/repos/LibrePhotos/librephotos/issues/681"
fortinet:fortiproxy,CVE-2018-13379,1,critical,1,https://api.github.com/repos/nmap/nmap/issues/1709
lodash:lodash,"CVE-2018-16487, CVE-2019-10744, CVE-2020-28500, CVE-2020-8203, CVE-2021-23337",5,"high, medium, critical",5,"https://api.github.com/repos/apache/airflow/issues/12272, https://api.github.com/repos/guess-js/guess/issues/150, https://api.github.com/repos/apache/airflow/issues/4820, https://api.github.com/repos/guess-js/guess/issues/474, https://api.github.com/repos/apache/airflow/issues/15363"
mpath_project:mpath,"CVE-2018-16490, CVE-2021-23438",2,"high, critical",1,https://api.github.com/repos/guess-js/guess/issues/521
python:requests,"CVE-2018-18074, CVE-2023-32681",2,"high, medium",3,"https://api.github.com/repos/ydataai/ydata-profiling/issues/1340, https://api.github.com/repos/apache/airflow/issues/4517, https://api.github.com/repos/jfkirk/tensorrec/issues/111"
libjpeg-turbo:libjpeg-turbo,"CVE-2018-19664, CVE-2018-20330, CVE-2019-13960, CVE-2021-46822",4,"high, medium",4,"https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/29, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/28, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/27, https://api.github.com/repos/isl-org/Open3D/issues/5926"
libexif_project:libexif,CVE-2018-20030,1,high,1,https://api.github.com/repos/kubeflow/kubeflow/issues/3531
node-tar_project:node-tar,CVE-2018-20834,1,high,1,https://api.github.com/repos/guess-js/guess/issues/515
smartbear:swagger_ui,"CVE-2018-25031, CVE-2019-17495",2,"medium, critical",1,https://api.github.com/repos/apache/airflow/issues/26686
unbit:uwsgi,CVE-2018-6758,1,critical,1,https://api.github.com/repos/Cloud-CV/EvalAI/issues/2240
drupal:drupal,CVE-2018-7600,1,critical,1,https://api.github.com/repos/nmap/nmap/issues/1395
nagios:nagios_xi,"CVE-2018-8733, CVE-2018-8734, CVE-2018-8735, CVE-2018-8736",4,"high, critical",1,https://api.github.com/repos/nmap/nmap/issues/1202
jquery_file_upload_project:jquery_file_upload,CVE-2018-9206,1,critical,1,https://api.github.com/repos/nmap/nmap/issues/1383
google:android,"CVE-2018-9517, CVE-2019-9423, CVE-2021-0920",3,"high, medium",3,"https://api.github.com/repos/kubeflow/kubeflow/issues/3531, https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448, https://api.github.com/repos/mosaicml/composer/issues/2007"
apache:zookeeper,CVE-2019-0201,1,medium,1,https://api.github.com/repos/apache/spark/issues/25933
apache:thrift,"CVE-2019-0205, CVE-2020-13949",2,high,6,"https://api.github.com/repos/apache/spark/issues/35588, https://api.github.com/repos/apache/spark/issues/35647, https://api.github.com/repos/apache/spark/issues/35646, https://api.github.com/repos/apache/spark/issues/34362, https://api.github.com/repos/apache/spark/issues/34361, https://api.github.com/repos/apache/spark/issues/35587"
fasterxml:jackson-mapper-asl,CVE-2019-10172,1,high,1,https://api.github.com/repos/h2oai/h2o-3/issues/6263
mixin-deep_project:mixin-deep,CVE-2019-10746,1,critical,1,https://api.github.com/repos/guess-js/guess/issues/536
set-value_project:set-value,"CVE-2019-10747, CVE-2021-23440",2,critical,1,https://api.github.com/repos/guess-js/guess/issues/540
jupyter:notebook,"CVE-2019-10856, CVE-2020-26215, CVE-2024-22421",3,medium,3,"https://api.github.com/repos/jupyter/notebook/issues/5874, https://api.github.com/repos/jupyter/notebook/issues/6494, https://api.github.com/repos/azavea/raster-vision/issues/2032"
palletsprojects:jinja,CVE-2019-10906,1,high,1,https://api.github.com/repos/kubeflow/pipelines/issues/1193
xmlsoft:libxslt,CVE-2019-11068,1,critical,1,https://api.github.com/repos/kubeflow/kubeflow/issues/3531
jquery:jquery,"CVE-2019-11358, CVE-2020-11022, CVE-2020-11023",3,medium,5,"https://api.github.com/repos/keras-team/keras/issues/15020, https://api.github.com/repos/scikit-learn/scikit-learn/issues/20922, https://api.github.com/repos/jupyter/notebook/issues/5489, https://api.github.com/repos/apache/airflow/issues/25645, https://api.github.com/repos/apache/airflow/issues/15364"
ivanti:connect_secure,CVE-2019-11510,1,critical,1,https://api.github.com/repos/nmap/nmap/issues/1708
golang:crypto,CVE-2019-11840,1,medium,1,https://api.github.com/repos/argoproj/argo-workflows/issues/10432
gnome:glib,CVE-2019-12450,1,critical,1,https://api.github.com/repos/kubeflow/kubeflow/issues/3531
fasterxml:jackson-databind,"CVE-2019-12814, CVE-2019-14540, CVE-2019-16335, CVE-2020-36518, CVE-2022-42004",5,"high, medium, critical",4,"https://api.github.com/repos/ray-project/ray/issues/37316, https://api.github.com/repos/apache/spark/issues/25912, https://api.github.com/repos/feast-dev/feast/issues/225, https://api.github.com/repos/h2oai/h2o-3/issues/6595"
bzip:bzip2,CVE-2019-12900,1,critical,1,https://api.github.com/repos/kubeflow/kubeflow/issues/6612
nltk:nltk,CVE-2019-14751,1,high,1,https://api.github.com/repos/shobrook/BitVision/issues/252
sqlite:sqlite,"CVE-2019-16168, CVE-2019-19244, CVE-2019-19645, CVE-2019-19646, CVE-2019-19880, CVE-2019-8457, CVE-2020-11655, CVE-2020-11656, CVE-2020-13434, CVE-2020-13435, CVE-2020-13630, CVE-2020-13631, CVE-2020-13871, CVE-2020-15358, CVE-2020-9327",15,"high, medium, critical",10,"https://api.github.com/repos/tf-encrypted/tf-encrypted/issues/744, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/28, https://api.github.com/repos/quic/aimet/issues/337, https://api.github.com/repos/kubeflow/kubeflow/issues/3531, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/6, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/27, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/17, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/29, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/7, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/8"
agendaless:waitress,CVE-2019-16789,1,high,1,https://api.github.com/repos/DragonComputer/Dragonfire/issues/139
apache:log4j,"CVE-2019-17571, CVE-2021-4104, CVE-2021-44228, CVE-2021-44832, CVE-2022-23302, CVE-2022-23305",6,"high, critical, medium",9,"https://api.github.com/repos/heavyai/heavydb/issues/711, https://api.github.com/repos/kubeflow/kubeflow/issues/6243, https://api.github.com/repos/kermitt2/grobid/issues/872, https://api.github.com/repos/kserve/kserve/issues/2190, https://api.github.com/repos/h2oai/h2o-3/issues/6165, https://api.github.com/repos/shimat/opencvsharp/issues/1381, https://api.github.com/repos/open-metadata/OpenMetadata/issues/1686, https://api.github.com/repos/ray-project/ray/issues/16638, https://api.github.com/repos/ray-project/ray/issues/21372"
python:python,"CVE-2019-18348, CVE-2020-10735, CVE-2021-23336",3,"high, medium",3,"https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031, https://api.github.com/repos/RasaHQ/rasa/issues/9004, https://api.github.com/repos/explosion/spaCy/issues/11589"
psutil_project:psutil,CVE-2019-18874,1,high,1,https://api.github.com/repos/tensorflow/tensorflow/issues/53429
djangoproject:django,"CVE-2019-19844, CVE-2020-7471, CVE-2020-9402",3,"high, critical",1,https://api.github.com/repos/alkaline-ml/pmdarima/issues/342
kind-of_project:kind-of,CVE-2019-20149,1,high,1,https://api.github.com/repos/guess-js/guess/issues/533
ruamel.yaml_project:ruamel.yaml,CVE-2019-20478,1,critical,1,https://api.github.com/repos/RasaHQ/rasa/issues/5627
mongodb:js-bson,CVE-2019-2391,1,medium,1,https://api.github.com/repos/guess-js/guess/issues/501
debian:advanced_package_tool,CVE-2019-3462,1,high,1,https://api.github.com/repos/kubeflow/pipelines/issues/4531
libssh2:libssh2,CVE-2019-3855,1,high,2,"https://api.github.com/repos/kubeflow/kubeflow/issues/3531, https://api.github.com/repos/kubeflow/pipelines/issues/4531"
opencv:opencv,CVE-2019-5063,1,high,1,https://api.github.com/repos/mosaicml/composer/issues/2007
gnu:wget,"CVE-2019-5953, CVE-2021-31879",2,"critical, medium",2,"https://api.github.com/repos/kubeflow/kubeflow/issues/3531, https://api.github.com/repos/triton-inference-server/server/issues/5383"
numpy:numpy,"CVE-2019-6446, CVE-2021-33430, CVE-2021-34141, CVE-2021-41495, CVE-2021-41496",5,"critical, medium",5,"https://api.github.com/repos/capitalone/DataProfiler/issues/771, https://api.github.com/repos/microsoft/nni/issues/3086, https://api.github.com/repos/mlrun/mlrun/issues/2016, https://api.github.com/repos/capitalone/DataProfiler/issues/516, https://api.github.com/repos/numpy/numpy/issues/21713"
sqlalchemy:sqlalchemy,"CVE-2019-7164, CVE-2019-7548",2,"high, critical",1,https://api.github.com/repos/apache/airflow/issues/5113
postgresql:postgresql,"CVE-2019-9193, CVE-2021-23214, CVE-2021-23222, CVE-2021-3677",4,"high, medium",2,"https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448, https://api.github.com/repos/kubeflow/pipelines/issues/4531"
google:tensorflow,"CVE-2019-9635, CVE-2020-15190, CVE-2020-15191, CVE-2020-15192, CVE-2020-15193, CVE-2020-15194, CVE-2020-15195, CVE-2020-15196, CVE-2020-15197, CVE-2020-15198, CVE-2020-15199, CVE-2020-15200, CVE-2020-15201, CVE-2020-15202, CVE-2020-15203, CVE-2020-15204, CVE-2020-15205, CVE-2020-15206, CVE-2020-15207, CVE-2020-15208, CVE-2020-15209, CVE-2020-15210, CVE-2020-15211, CVE-2020-15212, CVE-2020-15213, CVE-2020-15214, CVE-2020-5215, CVE-2021-35958, CVE-2021-37635, CVE-2021-37636, CVE-2021-37637, CVE-2021-37638, CVE-2021-37639, CVE-2021-37640, CVE-2021-37641, CVE-2021-37642, CVE-2021-37643, CVE-2021-37644, CVE-2021-37645, CVE-2021-37646, CVE-2021-37647, CVE-2021-37648, CVE-2021-37649, CVE-2021-37650, CVE-2021-37651, CVE-2021-37652, CVE-2021-37653, CVE-2021-37654, CVE-2021-37655, CVE-2021-37656, CVE-2021-37657, CVE-2021-37658, CVE-2021-37659, CVE-2021-37660, CVE-2021-37661, CVE-2021-37662, CVE-2021-37663, CVE-2021-37664, CVE-2021-37665, CVE-2021-37666, CVE-2021-37667, CVE-2021-37668, CVE-2021-37669, CVE-2021-37670, CVE-2021-37671, CVE-2021-37672, CVE-2021-37673, CVE-2021-37674, CVE-2021-37675, CVE-2021-37676, CVE-2021-37677, CVE-2021-37678, CVE-2021-37679, CVE-2021-41195, CVE-2021-41196, CVE-2021-41197, CVE-2021-41198, CVE-2021-41199, CVE-2021-41200, CVE-2021-41201, CVE-2021-41202, CVE-2021-41203, CVE-2021-41204, CVE-2021-41205, CVE-2021-41206, CVE-2021-41207, CVE-2021-41208, CVE-2021-41209, CVE-2021-41210, CVE-2021-41212, CVE-2021-41213, CVE-2021-41214, CVE-2021-41215, CVE-2021-41216, CVE-2021-41217, CVE-2021-41218, CVE-2021-41219, CVE-2021-41221, CVE-2021-41222, CVE-2021-41223, CVE-2021-41224, CVE-2021-41225, CVE-2021-41226, CVE-2021-41227, CVE-2021-41228, CVE-2022-21725, CVE-2022-21726, CVE-2022-21727, CVE-2022-21728, CVE-2022-21729, CVE-2022-21730, CVE-2022-21731, CVE-2022-21732, CVE-2022-21733, CVE-2022-21734, CVE-2022-21735, CVE-2022-21736, CVE-2022-21737, CVE-2022-21738, CVE-2022-21739, CVE-2022-21740, CVE-2022-21741, CVE-2022-23557, CVE-2022-23558, CVE-2022-23559, CVE-2022-23560, CVE-2022-23561, CVE-2022-23562, CVE-2022-23563, CVE-2022-23564, CVE-2022-23565, CVE-2022-23566, CVE-2022-23567, CVE-2022-23568, CVE-2022-23569, CVE-2022-23570, CVE-2022-23571, CVE-2022-23572, CVE-2022-23573, CVE-2022-23574, CVE-2022-23575, CVE-2022-23576, CVE-2022-23577, CVE-2022-23578, CVE-2022-23579, CVE-2022-23580, CVE-2022-23581, CVE-2022-23582, CVE-2022-23583, CVE-2022-23584, CVE-2022-23585, CVE-2022-23586, CVE-2022-23587, CVE-2022-23588, CVE-2022-23589, CVE-2022-23590, CVE-2022-23591, CVE-2022-23592, CVE-2022-23593, CVE-2022-23594, CVE-2022-23595, CVE-2022-29191, CVE-2022-29192, CVE-2022-29193, CVE-2022-29194, CVE-2022-29195, CVE-2022-29196, CVE-2022-29197, CVE-2022-29198, CVE-2022-29199, CVE-2022-29200, CVE-2022-29201, CVE-2022-29202, CVE-2022-29203, CVE-2022-29204, CVE-2022-29205, CVE-2022-29206, CVE-2022-29207, CVE-2022-29208, CVE-2022-29209, CVE-2022-29211, CVE-2022-29212, CVE-2022-29213, CVE-2022-29216",184,"high, medium, critical",39,"https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/101, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/28, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/67, https://api.github.com/repos/quic/aimet/issues/337, https://api.github.com/repos/tensorflow/tensorflow/issues/72282, https://api.github.com/repos/tensorflow/tensorflow/issues/52914, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/83, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/72, https://api.github.com/repos/google-research/language/issues/114, https://api.github.com/repos/google-research/language/issues/132, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/17, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/68, https://api.github.com/repos/tf-encrypted/tf-encrypted/issues/744, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/99, https://api.github.com/repos/quic/aimet/issues/1304, https://api.github.com/repos/quic/aimet/issues/831, https://api.github.com/repos/ahmetozlu/tensorflow_object_counting_api/issues/95, https://api.github.com/repos/quic/aimet/issues/1006, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/29, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/84, https://api.github.com/repos/google-research/language/issues/125, https://api.github.com/repos/quic/aimet/issues/1293, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/96, https://api.github.com/repos/google-research/language/issues/131, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/82, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/81, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/100, https://api.github.com/repos/tensorflow/tensorflow/issues/55132, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/7, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/8, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/69, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/27, https://api.github.com/repos/google-research/language/issues/108, https://api.github.com/repos/wandb/wandb/issues/333, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/6, https://api.github.com/repos/quic/aimet/issues/710, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/73, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/97, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/95"
