CVE ID,GHIssue,CWE name,CVE severity,CPE dependency name ,CPE dependency version,Description,Related attacks,Availability,Confidentiality,Integrity,Access Control,Non-Repudiation,Other,Categories path
CVE-2016-8610,https://api.github.com/repos/4paradigm/OpenMLDB/issues/1723,[],high,openssl:openssl,1.1.0,"It was found that the keycloak before 2.3.0 did not implement authentication flow correctly. An attacker could use this flaw to construct a phishing URL, from which he could hijack the user's session. This could lead to information disclosure, or permit further possible attacks.",Information disclosure attack,0,0,0,0,0,0,
CVE-2016-9841,https://api.github.com/repos/argoproj/argo-workflows/issues/2363,NVD-CWE-noinfo,critical,zlib:zlib,*,inffast.c in zlib 1.2.8 might allow context-dependent attackers to have unspecified impact by leveraging improper pointer arithmetic.,Use-after-free attack,0,0,0,0,0,0,
CVE-2016-9843,https://api.github.com/repos/argoproj/argo-workflows/issues/2363,NVD-CWE-noinfo,critical,zlib:zlib,*,The crc32_big function in crc32.c in zlib 1.2.8 might allow context-dependent attackers to have unspecified impact via vectors involving big-endian CRC calculation.,Arbitrary code attack,0,0,0,0,0,0,
CVE-2017-0143,https://api.github.com/repos/nmap/nmap/issues/1472,NVD-CWE-noinfo,high,[], ,"The SMBv1 server in Microsoft Windows Vista SP2; Windows Server 2008 SP2 and R2 SP1; Windows 7 SP1; Windows 8.1; Windows Server 2012 Gold and R2; Windows RT 8.1; and Windows 10 Gold, 1511, and 1607; and Windows Server 2016 allows remote attackers to execute arbitrary code via crafted packets, aka ""Windows SMB Remote Code Execution Vulnerability."" This vulnerability is different from those described in CVE-2017-0144, CVE-2017-0145, CVE-2017-0146, and CVE-2017-0148.","Remote code execution (RCE) attack, Arbitrary code attack ",0,1,1,0,0,0,"Confidentiality, Integrity"
CVE-2017-1000476,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-400,medium,imagemagick:imagemagick,7.0.7-12,"ImageMagick 7.0.7-12 Q16, a CPU exhaustion vulnerability was found in the function ReadDDSInfo in coders/dds.c, which allows attackers to cause a denial of service.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-12140,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-400,medium,imagemagick:imagemagick,7.0.6-1,The ReadDCMImage function in coders\dcm.c in ImageMagick 7.0.6-1 has an integer signedness error leading to excessive memory consumption via a crafted DCM file.,Denial of Service (DoS),0,0,0,0,0,0,
CVE-2017-12197,https://api.github.com/repos/h2oai/h2o-3/issues/6595,CWE-20,medium,libpam4j_project:libpam4j,*,It was found that libpam4j up to and including 1.8 did not properly validate user accounts when authenticating. A user with a valid password for a disabled account would be able to bypass security restrictions and possibly access sensitive information.,"Information disclosure attack, Bypass authentication attack",0,1,1,1,0,0,"Confidentiality, Integrity, Access Control"
CVE-2017-12424,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-119,critical,shadow_project:shadow,*,"In shadow before 4.5, the newusers tool could be made to manipulate internal data structures in ways unintended by the authors. Malformed input may lead to crashes (with a buffer overflow or other memory corruption) or other unspecified behaviors. This crosses a privilege boundary in, for example, certain web-hosting environments in which a Control Panel allows an unprivileged user account to create subaccounts.","Resource Management, Denial of Service (DoS), Privilege escalation attack",1,1,1,1,0,0,"Availability, Confidentiality, Integrity, Access Control"
CVE-2017-12424,https://api.github.com/repos/kubeflow/pipelines/issues/1545,CWE-119,critical,shadow_project:shadow,*,"In shadow before 4.5, the newusers tool could be made to manipulate internal data structures in ways unintended by the authors. Malformed input may lead to crashes (with a buffer overflow or other memory corruption) or other unspecified behaviors. This crosses a privilege boundary in, for example, certain web-hosting environments in which a Control Panel allows an unprivileged user account to create subaccounts.","Resource Management, Denial of Service (DoS), Privilege escalation attack",1,1,1,1,0,0,"Availability, Confidentiality, Integrity, Access Control"
CVE-2017-12429,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-770,high,imagemagick:imagemagick,7.0.6-1,"In ImageMagick 7.0.6-1, a memory exhaustion vulnerability was found in the function ReadMIFFImage in coders/miff.c, which allows attackers to cause a denial of service.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-12430,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-770,high,imagemagick:imagemagick,7.0.6-1,"In ImageMagick 7.0.6-1, a memory exhaustion vulnerability was found in the function ReadMPCImage in coders/mpc.c, which allows attackers to cause a denial of service.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-12435,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-770,high,imagemagick:imagemagick,7.0.6-1,"In ImageMagick 7.0.6-1, a memory exhaustion vulnerability was found in the function ReadSUNImage in coders/sun.c, which allows attackers to cause a denial of service.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-12563,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-770,medium,imagemagick:imagemagick,7.0.6-2,"In ImageMagick 7.0.6-2, a memory exhaustion vulnerability was found in the function ReadPSDImage in coders/psd.c, which allows attackers to cause a denial of service.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-12643,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-770,medium,imagemagick:imagemagick,7.0.6-1,ImageMagick 7.0.6-1 has a memory exhaustion vulnerability in ReadOneJNGImage in coders\png.c.,ImageMagick 7.0.6-1 has a memory exhaustion  attack,0,0,0,0,0,0,
CVE-2017-12674,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-834,medium,imagemagick:imagemagick,7.0.6-2,"In ImageMagick 7.0.6-2, a CPU exhaustion vulnerability was found in the function ReadPDBImage in coders/pdb.c, which allows attackers to cause a denial of service.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-12691,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-770,medium,imagemagick:imagemagick,7.0.6-6,The ReadOneLayer function in coders/xcf.c in ImageMagick 7.0.6-6 allows remote attackers to cause a denial of service (memory consumption) via a crafted file.,"Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2017-12692,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-770,medium,imagemagick:imagemagick,7.0.6-6,The ReadVIFFImage function in coders/viff.c in ImageMagick 7.0.6-6 allows remote attackers to cause a denial of service (memory consumption) via a crafted VIFF file.,"Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2017-12693,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-770,medium,imagemagick:imagemagick,7.0.6-6,The ReadBMPImage function in coders/bmp.c in ImageMagick 7.0.6-6 allows remote attackers to cause a denial of service (memory consumption) via a crafted BMP file.,"Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2017-12875,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-770,medium,imagemagick:imagemagick,7.0.6-6,The WritePixelCachePixels function in ImageMagick 7.0.6-6 allows remote attackers to cause a denial of service (CPU consumption) via a crafted file.,"Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2017-13133,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-770,medium,imagemagick:imagemagick,7.0.6-8,"In ImageMagick 7.0.6-8, the load_level function in coders/xcf.c lacks offset validation, which allows attackers to cause a denial of service (load_tile memory exhaustion) via a crafted file.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-14062,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-190,critical,gnu:libidn2,*,Integer overflow in the decode_digit function in puny_decode.c in Libidn2 before 2.0.4 allows remote attackers to cause a denial of service or possibly have unspecified other impact.,"Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2017-14062,https://api.github.com/repos/kubeflow/pipelines/issues/1545,CWE-190,critical,gnu:libidn2,*,Integer overflow in the decode_digit function in puny_decode.c in Libidn2 before 2.0.4 allows remote attackers to cause a denial of service or possibly have unspecified other impact.,"Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2017-14172,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-834,medium,imagemagick:imagemagick,7.0.7-0,"In coders/ps.c in ImageMagick 7.0.7-0 Q16, a DoS in ReadPSImage() due to lack of an EOF (End of File) check might cause huge CPU consumption. When a crafted PSD file, which claims a large ""extent"" field in the header but does not contain sufficient backing data, is provided, the loop over ""length"" would consume huge CPU resources, since there is no EOF check inside the loop.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-14174,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-834,medium,imagemagick:imagemagick,7.0.7-0,"In coders/psd.c in ImageMagick 7.0.7-0 Q16, a DoS in ReadPSDLayersInternal() due to lack of an EOF (End of File) check might cause huge CPU consumption. When a crafted PSD file, which claims a large ""length"" field in the header but does not contain sufficient backing data, is provided, the loop over ""length"" would consume huge CPU resources, since there is no EOF check inside the loop.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-14175,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-834,medium,imagemagick:imagemagick,7.0.6-1,"In coders/xbm.c in ImageMagick 7.0.6-1 Q16, a DoS in ReadXBMImage() due to lack of an EOF (End of File) check might cause huge CPU consumption. When a crafted XBM file, which claims large rows and columns fields in the header but does not contain sufficient backing data, is provided, the loop over the rows would consume huge CPU resources, since there is no EOF check inside the loop.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-14341,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-400,medium,imagemagick:imagemagick,7.0.6-6,"ImageMagick 7.0.6-6 has a large loop vulnerability in ReadWPGImage in coders/wpg.c, causing CPU exhaustion via a crafted wpg image file.",ImageMagick 7.0.6-6 has a large loop  attack,0,0,0,0,0,0,
CVE-2017-14528,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-416,medium,imagemagick:imagemagick,7.0.6,"The TIFFSetProfiles function in coders/tiff.c in ImageMagick 7.0.6 has incorrect expectations about whether LibTIFF TIFFGetField return values imply that data validation has occurred, which allows remote attackers to cause a denial of service (use-after-free after an invalid call to TIFFSetField, and application crash) via a crafted file.","Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2017-14532,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-476,critical,imagemagick:imagemagick,7.0.7-0,ImageMagick 7.0.7-0 has a NULL Pointer Dereference in TIFFIgnoreTags in coders/tiff.c., NULL pointer dereference attack ,0,1,1,0,0,0,"Confidentiality, Integrity"
CVE-2017-14624,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-476,critical,imagemagick:imagemagick,7.0.7-0,ImageMagick 7.0.7-0 Q16 has a NULL Pointer Dereference vulnerability in the function PostscriptDelegateMessage in coders/ps.c., NULL pointer dereference attack ,0,1,1,0,0,0,"Confidentiality, Integrity"
CVE-2017-14625,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-476,critical,imagemagick:imagemagick,7.0.7-0,ImageMagick 7.0.7-0 Q16 has a NULL Pointer Dereference vulnerability in the function sixel_output_create in coders/sixel.c., NULL pointer dereference attack ,0,1,1,0,0,0,"Confidentiality, Integrity"
CVE-2017-14626,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-476,critical,imagemagick:imagemagick,7.0.7-0,ImageMagick 7.0.7-0 Q16 has a NULL Pointer Dereference vulnerability in the function sixel_decode in coders/sixel.c., NULL pointer dereference attack ,0,1,1,0,0,0,"Confidentiality, Integrity"
CVE-2017-15713,https://api.github.com/repos/4paradigm/OpenMLDB/issues/387,CWE-200,medium,apache:hadoop,2.0.4,"Vulnerability in Apache Hadoop 0.23.x, 2.x before 2.7.5, 2.8.x before 2.8.3, and 3.0.0-alpha through 3.0.0-beta1 allows a cluster user to expose private files owned by the user running the MapReduce job history server process. The malicious user can construct a configuration file containing XML directives that reference sensitive files on the MapReduce job history server host.", XML Injection attack ,0,1,1,0,0,0,"Confidentiality, Integrity"
CVE-2017-15718,https://api.github.com/repos/4paradigm/OpenMLDB/issues/387,NVD-CWE-noinfo,critical,apache:hadoop,2.7.3,The YARN NodeManager in Apache Hadoop 2.7.3 and 2.7.4 can leak the password for credential store provider used by the NodeManager to YARN Applications.,Information disclosure attack,0,0,0,0,0,0,
CVE-2017-16114,https://api.github.com/repos/doccano/doccano/issues/161,CWE-400,high,marked_project:marked,*,"The marked module is vulnerable to a regular expression denial of service. Based on the information published in the public issue, 1k characters can block for around 6 seconds.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-17458,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-78,critical,mercurial:mercurial,*,"In Mercurial before 4.4.1, it is possible that a specially malformed repository can cause Git subrepositories to run arbitrary code in the form of a .git/hooks/post-update script checked into the repository. Typical use of Mercurial prevents construction of such repositories, but they can be created programmatically.",Arbitrary code attack ,0,1,1,0,0,0,"Confidentiality, Integrity"
CVE-2017-17480,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-787,critical,uclouvain:openjpeg,2.3.0,"In OpenJPEG 2.3.0, a stack-based buffer overflow was discovered in the pgxtovolume function in jp3d/convert.c. The vulnerability causes an out-of-bounds write, which may lead to remote denial of service or possibly remote code execution.","Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2017-17682,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-400,medium,imagemagick:imagemagick,7.0.7-12,"In ImageMagick 7.0.7-12 Q16, a large loop vulnerability was found in the function ExtractPostscript in coders/wpg.c, which allows attackers to cause a denial of service (CPU exhaustion) via a crafted wpg image file that triggers a ReadWPGImage call.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-17914,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-834,medium,imagemagick:imagemagick,7.0.7-16,"In ImageMagick 7.0.7-16 Q16, a vulnerability was found in the function ReadOnePNGImage in coders/png.c, which allows attackers to cause a denial of service (ReadOneMNGImage large loop) via a crafted mng image file.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-18271,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-835,medium,imagemagick:imagemagick,7.0.7-16,"In ImageMagick 7.0.7-16 Q16 x86_64 2017-12-22, an infinite loop vulnerability was found in the function ReadMIFFImage in coders/miff.c, which allows attackers to cause a denial of service (CPU exhaustion) via a crafted MIFF image file.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-18273,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-835,medium,imagemagick:imagemagick,7.0.7-16,"In ImageMagick 7.0.7-16 Q16 x86_64 2017-12-22, an infinite loop vulnerability was found in the function ReadTXTImage in coders/txt.c, which allows attackers to cause a denial of service (CPU exhaustion) via a crafted image file that is mishandled in a GetImageIndexInList call.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2017-18589,https://api.github.com/repos/LibrePhotos/librephotos/issues/681,CWE-20,high,cookie_project:cookie,*,An issue was discovered in the cookie crate before 0.7.6 for Rust. Large integers in the Max-Age of a cookie cause a panic.,Denial of Service (DoS),0,0,0,0,0,0,
CVE-2017-18640,https://api.github.com/repos/ray-project/ray/issues/16638,CWE-776,high,snakeyaml_project:snakeyaml,*,"The Alias feature in SnakeYAML before 1.26 allows entity expansion during a load operation, a related issue to CVE-2003-1564.",XML Injection attack,0,0,0,0,0,0,
CVE-2017-18640,https://api.github.com/repos/open-metadata/OpenMetadata/issues/2529,CWE-776,high,snakeyaml_project:snakeyaml,*,"The Alias feature in SnakeYAML before 1.26 allows entity expansion during a load operation, a related issue to CVE-2003-1564.",XML Injection attack,0,0,0,0,0,0,
CVE-2017-18640,431,CWE-776,high,snakeyaml_project:snakeyaml,*,"The Alias feature in SnakeYAML before 1.26 allows entity expansion during a load operation, a related issue to CVE-2003-1564.",XML Injection attack,0,0,0,0,0,0,
CVE-2017-20165,https://api.github.com/repos/infiniflow/ragflow/issues/1358,CWE-1333,high,debug_project:debug,*,A vulnerability classified as problematic has been found in debug-js debug up to 3.0.x. This affects the function useColors of the file src/node.js. The manipulation of the argument str leads to inefficient regular expression complexity. Upgrading to version 3.1.0 is able to address this issue. The identifier of the patch is c38a0166c266a679c8de012d4eaccec3f944e685. It is recommended to upgrade the affected component. The identifier VDB-217665 was assigned to this vulnerability.,Denial of Service (DoS),0,0,0,0,0,0,
CVE-2017-20165,https://api.github.com/repos/infiniflow/ragflow/issues/1174,CWE-1333,high,debug_project:debug,*,A vulnerability classified as problematic has been found in debug-js debug up to 3.0.x. This affects the function useColors of the file src/node.js. The manipulation of the argument str leads to inefficient regular expression complexity. Upgrading to version 3.1.0 is able to address this issue. The identifier of the patch is c38a0166c266a679c8de012d4eaccec3f944e685. It is recommended to upgrade the affected component. The identifier VDB-217665 was assigned to this vulnerability.,Denial of Service (DoS),0,0,0,0,0,0,
CVE-2017-20165,https://api.github.com/repos/xorbitsai/inference/issues/1651,CWE-1333,high,debug_project:debug,*,A vulnerability classified as problematic has been found in debug-js debug up to 3.0.x. This affects the function useColors of the file src/node.js. The manipulation of the argument str leads to inefficient regular expression complexity. Upgrading to version 3.1.0 is able to address this issue. The identifier of the patch is c38a0166c266a679c8de012d4eaccec3f944e685. It is recommended to upgrade the affected component. The identifier VDB-217665 was assigned to this vulnerability.,Denial of Service (DoS),0,0,0,0,0,0,
CVE-2017-3733,https://api.github.com/repos/4paradigm/OpenMLDB/issues/1723,CWE-20,high,openssl:openssl,1.1.0c,During a renegotiation handshake if the Encrypt-Then-Mac extension is negotiated where it was not in the original handshake (or vice-versa) then this can cause OpenSSL 1.1.0 before 1.1.0e to crash (dependent on ciphersuite). Both clients and servers are affected.,Denial of Service (DoS),0,0,0,0,0,0,
CVE-2017-3738,https://api.github.com/repos/4paradigm/OpenMLDB/issues/1723,CWE-200,medium,openssl:openssl,1.0.2a,"There is an overflow bug in the AVX2 Montgomery multiplication procedure used in exponentiation with 1024-bit moduli. No EC algorithms are affected. Analysis suggests that attacks against RSA and DSA as a result of this defect would be very difficult to perform and are not believed likely. Attacks against DH1024 are considered just feasible, because most of the work necessary to deduce information about a private key may be performed offline. The amount of resources required for such an attack would be significant. However, for an attack on TLS to be meaningful, the server would have to share the DH1024 private key among multiple clients, which is no longer an option since CVE-2016-0701. This only affects processors that support the AVX2 but not ADX extensions like Intel Haswell (4th generation). Note: The impact from this issue is similar to CVE-2017-3736, CVE-2017-3732 and CVE-2015-3193. OpenSSL version 1.0.2-1.0.2m and 1.1.0-1.1.0g are affected. Fixed in OpenSSL 1.0.2n. Due to the low severity of this issue we are not issuing a new release of OpenSSL 1.1.0 at this time. The fix will be included in OpenSSL 1.1.0h when it becomes available. The fix is also available in commit e502cc86d in the OpenSSL git repository.",Heap-based Buffer Overflow,0,0,0,0,0,0,
CVE-2017-5689,https://api.github.com/repos/nmap/nmap/issues/1066,NVD-CWE-noinfo,critical,intel:active_management_technology_firmware,9.1,"An unprivileged network attacker could gain system privileges to provisioned Intel manageability SKUs: Intel Active Management Technology (AMT) and Intel Standard Manageability (ISM). An unprivileged local attacker could provision manageability features gaining unprivileged network or local system privileges on Intel manageability SKUs: Intel Active Management Technology (AMT), Intel Standard Manageability (ISM), and Intel Small Business Technology (SBT).",Privilege escalation attack,0,1,1,1,0,0,"Confidentiality, Integrity, Access Control"
CVE-2017-5754,https://api.github.com/repos/tensorflow/tensorflow/issues/16603,CWE-200,medium,intel:core_i7,4900mq,Systems with microprocessors utilizing speculative execution and indirect branch prediction may allow unauthorized disclosure of information to an attacker with local user access via a side-channel analysis of the data cache.,Information disclosure attack,0,1,0,1,0,0,"Confidentiality, Access Control"
CVE-2017-7678,https://api.github.com/repos/apache/spark/issues/19538,CWE-79,medium,apache:spark,*,"In Apache Spark before 2.2.0, it is possible for an attacker to take advantage of a user's trust in the server to trick them into visiting a link that points to a shared Spark cluster and submits data including MHTML to the Spark master, or history server. This data, which could contain a script, would then be reflected back to the user and could be evaluated and executed by MS Windows-based clients. It is not an attack on Spark itself, but on the user, who may then execute the script inadvertently when viewing elements of the Spark web UIs.",Stored Cross-Site Scripting (XSS) attack,0,0,0,0,0,0,
CVE-2017-7678,https://api.github.com/repos/apache/spark/issues/19528,CWE-79,medium,apache:spark,*,"In Apache Spark before 2.2.0, it is possible for an attacker to take advantage of a user's trust in the server to trick them into visiting a link that points to a shared Spark cluster and submits data including MHTML to the Spark master, or history server. This data, which could contain a script, would then be reflected back to the user and could be evaluated and executed by MS Windows-based clients. It is not an attack on Spark itself, but on the user, who may then execute the script inadvertently when viewing elements of the Spark web UIs.",Stored Cross-Site Scripting (XSS) attack,0,0,0,0,0,0,
CVE-2017-8804,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-502,high,gnu:glibc,2.25,"The xdr_bytes and xdr_string functions in the GNU C Library (aka glibc or libc6) 2.25 mishandle failures of buffer deserialization, which allows remote attackers to cause a denial of service (virtual memory allocation, or memory consumption if an overcommit setting is not used) via a crafted UDP packet to port 111, a related issue to CVE-2017-8779. NOTE: [Information provided from upstream and references","Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2017-8804,https://api.github.com/repos/kubeflow/pipelines/issues/1545,CWE-502,high,gnu:glibc,2.25,"The xdr_bytes and xdr_string functions in the GNU C Library (aka glibc or libc6) 2.25 mishandle failures of buffer deserialization, which allows remote attackers to cause a denial of service (virtual memory allocation, or memory consumption if an overcommit setting is not used) via a crafted UDP packet to port 111, a related issue to CVE-2017-8779. NOTE: [Information provided from upstream and references","Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2017-8816,https://api.github.com/repos/argoproj/argo-workflows/issues/2363,CWE-190,critical,haxx:libcurl,*,"The NTLM authentication feature in curl and libcurl before 7.57.0 on 32-bit platforms allows attackers to cause a denial of service (integer overflow and resultant buffer overflow, and application crash) or possibly have unspecified other impact via vectors involving long user and password fields.",Denial of Service (DoS),1,1,0,1,0,0,"Availability, Confidentiality, Access Control"
