Index,CVE,title,repository,date,Issue_ID
485,CVE-2020-11022,"There is a vulnerability in jquery 3.4.1 ,upgrade recommended",apache/airflow,2021-04-14T02:54:43Z,https://api.github.com/repos/apache/airflow/issues/15364
485,CVE-2020-11023,"There is a vulnerability in jquery 3.4.1 ,upgrade recommended",apache/airflow,2021-04-14T02:54:43Z,https://api.github.com/repos/apache/airflow/issues/15364
486,CVE-2021-23337,"There is a vulnerability in  lodash 4.17.20 ,upgrade recommended",apache/airflow,2021-04-14T02:52:24Z,https://api.github.com/repos/apache/airflow/issues/15363
486,CVE-2020-28500,"There is a vulnerability in  lodash 4.17.20 ,upgrade recommended",apache/airflow,2021-04-14T02:52:24Z,https://api.github.com/repos/apache/airflow/issues/15363
496,CVE-2020-8203,Package vulnerability scan failing on lodash CVE,apache/airflow,2020-11-11T00:23:06Z,https://api.github.com/repos/apache/airflow/issues/12272
520,CVE-2019-7164,[AIRFLOW-4332] Upgrade sqlalchemy to remove security Vulnerability,apache/airflow,2019-04-16T15:56:03Z,https://api.github.com/repos/apache/airflow/issues/5113
520,CVE-2019-7548,[AIRFLOW-4332] Upgrade sqlalchemy to remove security Vulnerability,apache/airflow,2019-04-16T15:56:03Z,https://api.github.com/repos/apache/airflow/issues/5113
522,CVE-2018-16487,[AIRFLOW-XXX] Solve lodash security warning,apache/airflow,2019-03-02T19:36:00Z,https://api.github.com/repos/apache/airflow/issues/4820
526,CVE-2018-18074,"[AIRFLOW-3700] Change the lowest allowed version of ""requests"" to address security vulnerabilities",apache/airflow,2019-01-14T01:43:12Z,https://api.github.com/repos/apache/airflow/issues/4517
545,CVE-2021-22204,Metadata: Upgrade Exiftool to fix security issue,photoprism/photoprism,2021-05-19T10:21:24Z,https://api.github.com/repos/photoprism/photoprism/issues/1302
589,CVE-2023-47248,[Data] Fix CVE-2023-47248 vulnerability ,ray-project/ray,2023-11-21T22:08:20Z,https://api.github.com/repos/ray-project/ray/issues/41314
595,CVE-2023-32731,Upgrade grpcio to a secure version,ray-project/ray,2023-07-13T12:10:30Z,https://api.github.com/repos/ray-project/ray/issues/37398
597,CVE-2022-42004,[Core] Java vulnerabilities in the release images,ray-project/ray,2023-07-12T00:38:14Z,https://api.github.com/repos/ray-project/ray/issues/37316
597,CVE-2022-3509,[Core] Java vulnerabilities in the release images,ray-project/ray,2023-07-12T00:38:14Z,https://api.github.com/repos/ray-project/ray/issues/37316
598,CVE-2022-25857,[Core] CVE-2022-25857 vulnerability in ray_dist.jar,ray-project/ray,2023-05-31T18:40:15Z,https://api.github.com/repos/ray-project/ray/issues/35949
608,CVE-2021-44832,[Bug] Fix log4j vulnerability CVE-2021-44832,ray-project/ray,2022-01-04T09:21:12Z,https://api.github.com/repos/ray-project/ray/issues/21372
619,CVE-2021-29425,Security vulnerabilities in Ray 1.4,ray-project/ray,2021-06-23T17:18:22Z,https://api.github.com/repos/ray-project/ray/issues/16638
619,CVE-2020-8908,Security vulnerabilities in Ray 1.4,ray-project/ray,2021-06-23T17:18:22Z,https://api.github.com/repos/ray-project/ray/issues/16638
619,CVE-2017-18640,Security vulnerabilities in Ray 1.4,ray-project/ray,2021-06-23T17:18:22Z,https://api.github.com/repos/ray-project/ray/issues/16638
619,CVE-2019-17571,Security vulnerabilities in Ray 1.4,ray-project/ray,2021-06-23T17:18:22Z,https://api.github.com/repos/ray-project/ray/issues/16638
626,CVE-2016-5180,[ray] Critical security vulnerabilities in Redis/Lua dependency,ray-project/ray,2020-11-02T20:13:43Z,https://api.github.com/repos/ray-project/ray/issues/11765
626,CVE-2014-5461,[ray] Critical security vulnerabilities in Redis/Lua dependency,ray-project/ray,2020-11-02T20:13:43Z,https://api.github.com/repos/ray-project/ray/issues/11765
626,CVE-2020-15945,[ray] Critical security vulnerabilities in Redis/Lua dependency,ray-project/ray,2020-11-02T20:13:43Z,https://api.github.com/repos/ray-project/ray/issues/11765
626,CVE-2007-3152,[ray] Critical security vulnerabilities in Redis/Lua dependency,ray-project/ray,2020-11-02T20:13:43Z,https://api.github.com/repos/ray-project/ray/issues/11765
626,CVE-2020-15888,[ray] Critical security vulnerabilities in Redis/Lua dependency,ray-project/ray,2020-11-02T20:13:43Z,https://api.github.com/repos/ray-project/ray/issues/11765
626,CVE-2007-3153,[ray] Critical security vulnerabilities in Redis/Lua dependency,ray-project/ray,2020-11-02T20:13:43Z,https://api.github.com/repos/ray-project/ray/issues/11765
626,CVE-2020-15889,[ray] Critical security vulnerabilities in Redis/Lua dependency,ray-project/ray,2020-11-02T20:13:43Z,https://api.github.com/repos/ray-project/ray/issues/11765
626,CVE-2020-24342,[ray] Critical security vulnerabilities in Redis/Lua dependency,ray-project/ray,2020-11-02T20:13:43Z,https://api.github.com/repos/ray-project/ray/issues/11765
626,CVE-2020-14147,[ray] Critical security vulnerabilities in Redis/Lua dependency,ray-project/ray,2020-11-02T20:13:43Z,https://api.github.com/repos/ray-project/ray/issues/11765
650,CVE-2024-28244,chore(deps): update dependency katex to v0.16.10 [security],gradio-app/gradio,2024-04-19T21:38:08Z,https://api.github.com/repos/gradio-app/gradio/issues/8083
650,CVE-2024-28245,chore(deps): update dependency katex to v0.16.10 [security],gradio-app/gradio,2024-04-19T21:38:08Z,https://api.github.com/repos/gradio-app/gradio/issues/8083
650,CVE-2024-28243,chore(deps): update dependency katex to v0.16.10 [security],gradio-app/gradio,2024-04-19T21:38:08Z,https://api.github.com/repos/gradio-app/gradio/issues/8083
650,CVE-2024-28246,chore(deps): update dependency katex to v0.16.10 [security],gradio-app/gradio,2024-04-19T21:38:08Z,https://api.github.com/repos/gradio-app/gradio/issues/8083
652,CVE-2023-26487,chore(deps): update dependency vega to v5.23.0 [security],gradio-app/gradio,2024-02-25T09:34:55Z,https://api.github.com/repos/gradio-app/gradio/issues/7537
652,CVE-2023-26486,chore(deps): update dependency vega to v5.23.0 [security],gradio-app/gradio,2024-02-25T09:34:55Z,https://api.github.com/repos/gradio-app/gradio/issues/7537
653,CVE-2023-44270,chore(deps): update dependency postcss to v8.4.31 [security],gradio-app/gradio,2024-02-25T09:34:42Z,https://api.github.com/repos/gradio-app/gradio/issues/7536
664,CVE-2020-10735,[security] update pydantic to >=v1.10.2 to include CVE patch,explosion/spaCy,2022-10-07T02:15:29Z,https://api.github.com/repos/explosion/spaCy/issues/11589
671,CVE-2022-3786,Upgrade dependencies for bug and for security vulnerabilities.,OpenBB-finance/OpenBB,2023-01-22T03:23:23Z,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
671,CVE-2022-1941,Upgrade dependencies for bug and for security vulnerabilities.,OpenBB-finance/OpenBB,2023-01-22T03:23:23Z,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
671,CVE-2022-3602,Upgrade dependencies for bug and for security vulnerabilities.,OpenBB-finance/OpenBB,2023-01-22T03:23:23Z,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
671,CVE-2022-23491,Upgrade dependencies for bug and for security vulnerabilities.,OpenBB-finance/OpenBB,2023-01-22T03:23:23Z,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
671,CVE-2020-10735,Upgrade dependencies for bug and for security vulnerabilities.,OpenBB-finance/OpenBB,2023-01-22T03:23:23Z,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
671,CVE-2022-24439,Upgrade dependencies for bug and for security vulnerabilities.,OpenBB-finance/OpenBB,2023-01-22T03:23:23Z,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
671,CVE-2022-40899,Upgrade dependencies for bug and for security vulnerabilities.,OpenBB-finance/OpenBB,2023-01-22T03:23:23Z,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
671,CVE-2022-42969,Upgrade dependencies for bug and for security vulnerabilities.,OpenBB-finance/OpenBB,2023-01-22T03:23:23Z,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
671,CVE-2022-45199,Upgrade dependencies for bug and for security vulnerabilities.,OpenBB-finance/OpenBB,2023-01-22T03:23:23Z,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
681,CVE-2024-5452,Plans to address the vulnerability CVE-2024-5452,Lightning-AI/pytorch-lightning,2024-07-02T10:50:05Z,https://api.github.com/repos/Lightning-AI/pytorch-lightning/issues/20038
682,CVE-2024-5980,Lightning vulnerability CVE-2024-5980,Lightning-AI/pytorch-lightning,2024-07-01T06:38:06Z,https://api.github.com/repos/Lightning-AI/pytorch-lightning/issues/20032
683,CVE-2023-30798,CVE-2023-30798: FastAPI <0.92 has a security vulnerability due to Starlette <0.25,Lightning-AI/pytorch-lightning,2023-05-04T12:46:15Z,https://api.github.com/repos/Lightning-AI/pytorch-lightning/issues/17563
732,CVE-2024-22051,rocksdb has vulnerability issues,PaddlePaddle/Paddle,2024-07-10T05:44:33Z,https://api.github.com/repos/PaddlePaddle/Paddle/issues/65906
811,CVE-2023-47248,Support pyarrow 14.0.1 and fix vulnerability CVE-2023-47248,huggingface/datasets,2023-11-13T09:15:39Z,https://api.github.com/repos/huggingface/datasets/issues/6404
813,CVE-2001-1267,Fix tar extraction vuln,huggingface/datasets,2022-09-23T14:22:21Z,https://api.github.com/repos/huggingface/datasets/issues/5016
813,CVE-2007-4559,Fix tar extraction vuln,huggingface/datasets,2022-09-23T14:22:21Z,https://api.github.com/repos/huggingface/datasets/issues/5016
820,CVE-2021-24032,[BUG] Known security vulnerability in the zstd C library.,recommenders-team/recommenders,2022-04-15T14:55:27Z,https://api.github.com/repos/recommenders-team/recommenders/issues/1701
865,CVE-2021-33880,Ignore assessed vulnerabilities,RasaHQ/rasa,2021-09-02T21:15:36Z,https://api.github.com/repos/RasaHQ/rasa/issues/9519
867,CVE-2021-23134,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2021-31829,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2021-3580,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2019-18348,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2021-33034,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2021-3609,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2020-26147,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2020-24587,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2020-26139,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2020-24586,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2021-23336,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2021-23133,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2020-24588,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2020-26145,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2020-26141,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2021-32399,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
867,CVE-2021-3506,Security vulnerabilities with known fixes in rasa image,RasaHQ/rasa,2021-07-01T16:21:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/9004
873,CVE-2019-20478,add regular vulnerability scan,RasaHQ/rasa,2020-04-15T07:32:32Z,https://api.github.com/repos/RasaHQ/rasa/issues/5627
899,CVE-2024-37061,[BUG] Improper input validation vulnerability - CVE-2024-37061,mlflow/mlflow,2024-06-05T14:00:32Z,https://api.github.com/repos/mlflow/mlflow/issues/12257
900,CVE-2024-37057,[BUG] Unsafe deserialization vulnerability - CVE-2024-37052 to CVE-2024-37060,mlflow/mlflow,2024-06-05T13:51:50Z,https://api.github.com/repos/mlflow/mlflow/issues/12256
900,CVE-2024-37052,[BUG] Unsafe deserialization vulnerability - CVE-2024-37052 to CVE-2024-37060,mlflow/mlflow,2024-06-05T13:51:50Z,https://api.github.com/repos/mlflow/mlflow/issues/12256
900,CVE-2024-37060,[BUG] Unsafe deserialization vulnerability - CVE-2024-37052 to CVE-2024-37060,mlflow/mlflow,2024-06-05T13:51:50Z,https://api.github.com/repos/mlflow/mlflow/issues/12256
919,CVE-2024-5187,reporting a vulnerability  of download_model function,onnx/onnx,2024-07-06T14:52:30Z,https://api.github.com/repos/onnx/onnx/issues/6215
962,CVE-2017-20165,upgrade dependencies to fix vulnerability,infiniflow/ragflow,2024-07-03T09:37:38Z,https://api.github.com/repos/infiniflow/ragflow/issues/1358
962,CVE-2024-4367,upgrade dependencies to fix vulnerability,infiniflow/ragflow,2024-07-03T09:37:38Z,https://api.github.com/repos/infiniflow/ragflow/issues/1358
964,CVE-2017-20165,[Bug]: consider fix security bug,infiniflow/ragflow,2024-06-17T01:33:31Z,https://api.github.com/repos/infiniflow/ragflow/issues/1174
964,CVE-2024-4067,[Bug]: consider fix security bug,infiniflow/ragflow,2024-06-17T01:33:31Z,https://api.github.com/repos/infiniflow/ragflow/issues/1174
964,CVE-2024-4367,[Bug]: consider fix security bug,infiniflow/ragflow,2024-06-17T01:33:31Z,https://api.github.com/repos/infiniflow/ragflow/issues/1174
964,CVE-2024-4068,[Bug]: consider fix security bug,infiniflow/ragflow,2024-06-17T01:33:31Z,https://api.github.com/repos/infiniflow/ragflow/issues/1174
964,CVE-2024-34997,[Bug]: consider fix security bug,infiniflow/ragflow,2024-06-17T01:33:31Z,https://api.github.com/repos/infiniflow/ragflow/issues/1174
965,CVE-2024-36039,upgrade version fix security bug,infiniflow/ragflow,2024-06-17T01:11:29Z,https://api.github.com/repos/infiniflow/ragflow/issues/1173
965,CVE-2024-34069,upgrade version fix security bug,infiniflow/ragflow,2024-06-17T01:11:29Z,https://api.github.com/repos/infiniflow/ragflow/issues/1173
965,CVE-2024-28219,upgrade version fix security bug,infiniflow/ragflow,2024-06-17T01:11:29Z,https://api.github.com/repos/infiniflow/ragflow/issues/1173
965,CVE-2024-30251,upgrade version fix security bug,infiniflow/ragflow,2024-06-17T01:11:29Z,https://api.github.com/repos/infiniflow/ragflow/issues/1173
967,CVE-2022-2309,"There is a vulnerability in lxml:4.8.0,upgrade recommended",microsoft/qlib,2022-12-26T06:50:17Z,https://api.github.com/repos/microsoft/qlib/issues/1400
968,CVE-2022-23491,"There is a vulnerability in certifi:2021.10.8,upgrade recommended",microsoft/qlib,2022-12-26T06:49:20Z,https://api.github.com/repos/microsoft/qlib/issues/1399
989,CVE-2023-2253,fix: Upgraded docker distribution go package to v2.8.2 for fixing a high vulnerability,argoproj/argo-workflows,2023-08-10T14:25:31Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11554
990,CVE-2023-29405,fix: Added vulnerability fixes for gorestlful gopkg & OS vulnerabilities in golang:1.20-alpine3.16,argoproj/argo-workflows,2023-08-07T10:51:05Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11538
990,CVE-2023-2253,fix: Added vulnerability fixes for gorestlful gopkg & OS vulnerabilities in golang:1.20-alpine3.16,argoproj/argo-workflows,2023-08-07T10:51:05Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11538
990,CVE-2023-29406,fix: Added vulnerability fixes for gorestlful gopkg & OS vulnerabilities in golang:1.20-alpine3.16,argoproj/argo-workflows,2023-08-07T10:51:05Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11538
990,CVE-2023-29404,fix: Added vulnerability fixes for gorestlful gopkg & OS vulnerabilities in golang:1.20-alpine3.16,argoproj/argo-workflows,2023-08-07T10:51:05Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11538
990,CVE-2023-29403,fix: Added vulnerability fixes for gorestlful gopkg & OS vulnerabilities in golang:1.20-alpine3.16,argoproj/argo-workflows,2023-08-07T10:51:05Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11538
990,CVE-2023-29402,fix: Added vulnerability fixes for gorestlful gopkg & OS vulnerabilities in golang:1.20-alpine3.16,argoproj/argo-workflows,2023-08-07T10:51:05Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11538
992,CVE-2023-24537,Facing vulnerability issues with golang 1.19.7 versions in argocli,argoproj/argo-workflows,2023-05-02T10:49:25Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11023
992,CVE-2023-24534,Facing vulnerability issues with golang 1.19.7 versions in argocli,argoproj/argo-workflows,2023-05-02T10:49:25Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11023
992,CVE-2023-24536,Facing vulnerability issues with golang 1.19.7 versions in argocli,argoproj/argo-workflows,2023-05-02T10:49:25Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11023
992,CVE-2023-24538,Facing vulnerability issues with golang 1.19.7 versions in argocli,argoproj/argo-workflows,2023-05-02T10:49:25Z,https://api.github.com/repos/argoproj/argo-workflows/issues/11023
995,CVE-2022-41722,"CVE-2022-41722 | CVE-2022-41723 Facing vulnerable issues with golang, golang.org/net versions in argocli ",argoproj/argo-workflows,2023-04-04T09:02:53Z,https://api.github.com/repos/argoproj/argo-workflows/issues/10811
995,CVE-2022-41723,"CVE-2022-41722 | CVE-2022-41723 Facing vulnerable issues with golang, golang.org/net versions in argocli ",argoproj/argo-workflows,2023-04-04T09:02:53Z,https://api.github.com/repos/argoproj/argo-workflows/issues/10811
999,CVE-2019-11840,Eliminate use of golang.org/x/crypto to eliminate CVE-2019-11840 from security scan,argoproj/argo-workflows,2023-01-31T00:47:34Z,https://api.github.com/repos/argoproj/argo-workflows/issues/10432
1074,CVE-2017-8818,Many vulnerable dependencies with fixed newer versions in argoui,argoproj/argo-workflows,2020-03-04T21:23:39Z,https://api.github.com/repos/argoproj/argo-workflows/issues/2363
1074,CVE-2016-9843,Many vulnerable dependencies with fixed newer versions in argoui,argoproj/argo-workflows,2020-03-04T21:23:39Z,https://api.github.com/repos/argoproj/argo-workflows/issues/2363
1074,CVE-2017-8816,Many vulnerable dependencies with fixed newer versions in argoui,argoproj/argo-workflows,2020-03-04T21:23:39Z,https://api.github.com/repos/argoproj/argo-workflows/issues/2363
1074,CVE-2018-1000005,Many vulnerable dependencies with fixed newer versions in argoui,argoproj/argo-workflows,2020-03-04T21:23:39Z,https://api.github.com/repos/argoproj/argo-workflows/issues/2363
1074,CVE-2018-1000301,Many vulnerable dependencies with fixed newer versions in argoui,argoproj/argo-workflows,2020-03-04T21:23:39Z,https://api.github.com/repos/argoproj/argo-workflows/issues/2363
1074,CVE-2018-1000122,Many vulnerable dependencies with fixed newer versions in argoui,argoproj/argo-workflows,2020-03-04T21:23:39Z,https://api.github.com/repos/argoproj/argo-workflows/issues/2363
1074,CVE-2018-1000120,Many vulnerable dependencies with fixed newer versions in argoui,argoproj/argo-workflows,2020-03-04T21:23:39Z,https://api.github.com/repos/argoproj/argo-workflows/issues/2363
1074,CVE-2017-8817,Many vulnerable dependencies with fixed newer versions in argoui,argoproj/argo-workflows,2020-03-04T21:23:39Z,https://api.github.com/repos/argoproj/argo-workflows/issues/2363
1074,CVE-2018-1000300,Many vulnerable dependencies with fixed newer versions in argoui,argoproj/argo-workflows,2020-03-04T21:23:39Z,https://api.github.com/repos/argoproj/argo-workflows/issues/2363
1074,CVE-2016-9841,Many vulnerable dependencies with fixed newer versions in argoui,argoproj/argo-workflows,2020-03-04T21:23:39Z,https://api.github.com/repos/argoproj/argo-workflows/issues/2363
1096,CVE-2023-0215,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2022-25878,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2022-4450,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2022-2097,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2020-15366,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2022-37434,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2021-3807,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2021-44906,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2020-7746,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2022-3517,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2022-24999,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2022-0122,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2021-23343,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
1096,CVE-2023-0286,centraldashboard: removed critical vulnerabilities from centraldashboard image Fixes #7098,kubeflow/kubeflow,2023-04-18T19:39:04Z,https://api.github.com/repos/kubeflow/kubeflow/issues/7102
